Precinct,P_Clinton,P_Trump,P_Johnson,P_Stein,P_PRE_WRIT,OBJECTID_1
139,93.89,2.92,0.89,1.25,1.04,1
143,83.3,8.41,3.21,0.88,4.2,2
37,93.11,2.13,1.45,1.94,1.37,3
135,92.52,2.85,2.09,1.45,1.09,4
25,90.84,3.71,2.03,1.39,2.03,5
75,91.7,2.68,1.95,1.63,2.04,6
5,80.79,10.15,3.44,1.13,4.49,7
41,92.8,2.69,1.19,1.77,1.53,8
71,93.61,2.69,1.34,1.29,1.06,9
16,90.55,4.12,1.92,1.13,2.28,10
93,95.01,2.12,0.65,1.48,0.74,11
83,89.09,3.98,2.5,1.11,3.32,12
1,90.18,4.74,2.14,0.83,2.11,13
82,89.05,3.5,2.32,1.56,3.58,14
3,80.45,12.56,2.35,1.72,2.92,15
99,93.91,1.64,1.16,1.93,1.35,16
6,80.25,11.2,3.08,1.05,4.42,17
19,93.25,1.83,1.74,1.65,1.53,18
64,94.32,1.95,0.68,1.79,1.26,19
59,92.92,2.87,0.94,1.83,1.43,20
32,88.89,6.51,1.39,1.03,2.17,21
60,93.99,3.42,0.48,1.38,0.72,22
65,94.81,1.85,0.83,1.39,1.11,23
58,95.02,1.91,0.46,1.97,0.64,24
138,87.99,5.9,2.11,1.38,2.63,25
53,91.28,4.55,1.48,2.04,0.65,26
62,92.86,3.71,0.75,1.46,1.21,27
51,85.78,8.67,1.57,0.98,3.0,28
61,93.24,3.68,0.45,1.8,0.83,29
50,86.65,8.15,1.48,1.57,2.15,30
30,84.74,8.98,2.07,0.97,3.25,31
34,89.34,4.86,2.4,1.12,2.29,32
68,88.23,4.88,1.9,2.02,2.97,33
10,83.14,10.04,2.38,0.81,3.63,34
29,85.88,6.76,3.05,2.19,2.12,35
40,91.36,2.85,1.68,2.57,1.54,36
45,93.67,1.83,1.15,2.04,1.31,37
27,89.04,4.88,2.03,1.09,2.97,38
49,93.99,1.57,1.83,1.31,1.31,39
31,85.93,8.03,2.0,1.35,2.69,40
57,92.67,2.88,0.81,1.87,1.77,41
