P_YES,P_NO,Precinct,OBJECTID_1
89.29,10.71,139,1
80.26,19.74,143,2
89.13,10.87,37,3
89.38,10.63,135,4
87.86,12.14,25,5
87.61,12.39,75,6
76.53,23.47,5,7
90.2,9.8,41,8
86.41,13.59,71,9
87.11,12.89,16,10
89.54,10.46,93,11
85.58,14.42,83,12
85.45,14.55,1,13
86.91,13.09,82,14
77.94,22.06,3,15
83.07,16.93,99,16
78.13,21.88,6,17
90.78,9.22,19,18
86.55,13.45,64,19
87.19,12.81,59,20
83.6,16.4,32,21
85.88,14.12,60,22
87.12,12.88,65,23
88.56,11.44,58,24
82.22,17.78,138,25
86.85,13.15,53,26
88.94,11.06,62,27
80.19,19.81,51,28
86.51,13.49,61,29
82.76,17.24,50,30
80.98,19.02,30,31
83.46,16.54,34,32
85.78,14.22,68,33
78.06,21.94,10,34
81.48,18.52,29,35
90.34,9.66,40,36
90.5,9.5,45,37
83.74,16.26,27,38
89.14,10.86,49,39
82.88,17.12,31,40
87.91,12.09,57,41
87.37,12.63,78,42
86.33,13.67,141,43
84.33,15.67,14,44
89.62,10.38,21,45
85.94,14.06,15,46
87.1,12.9,102,47
86.54,13.46,96,48
77.94,22.06,89,49
83.89,16.11,86,50
83.37,16.63,88,51
84.33,15.67,87,52
88.56,11.44,119,53
88.13,11.87,132,54
86.9,13.1,103,55
87.33,12.67,104,56
85.01,14.99,105,57
88.28,11.72,107,58
85.68,14.32,91,59
82.14,17.86,90,60
85.81,14.19,142,61
85.88,14.12,128,62
86.92,13.08,111,63
86.65,13.35,106,64
79.67,20.33,131,65
85.82,14.18,108,66
87.43,12.57,140,67
84.52,15.48,127,68
87.5,12.5,109,69
88.44,11.56,133,70
87.75,12.25,110,71
84.96,15.04,81,72
91.1,8.9,97,73
73.84,26.16,130,74
82.07,17.93,84,75
86.89,13.11,80,76
81.86,18.14,85,77
87.19,12.81,101,78
81.7,18.3,123,79
87.11,12.89,114,80
87.58,12.42,112,81
85.48,14.52,113,82
86.96,13.04,134,83
87.91,12.09,118,84
87.03,12.97,115,85
89.24,10.76,117,86
89.68,10.32,116,87
86.76,13.24,122,88
84.58,15.42,120,89
86.7,13.3,121,90
87.56,12.44,124,91
82.1,17.9,125,92
87.67,12.33,126,93
89.33,10.67,63,94
81.24,18.76,52,95
87.99,12.01,46,96
86.37,13.63,69,97
77.22,22.78,8,98
88.92,11.08,47,99
87.51,12.49,54,100
87.36,12.64,56,101
84.63,15.37,33,102
87.09,12.91,67,103
86.72,13.28,74,104
89.85,10.15,38,105
71.56,28.44,12,106
87.98,12.02,66,107
85.0,15.0,44,108
88.8,11.2,48,109
87.87,12.13,55,110
72.24,27.76,9,111
78.72,21.28,28,112
86.29,13.71,136,113
85.36,14.64,26,114
78.87,21.13,7,115
90.5,9.5,39,116
86.37,13.63,72,117
89.0,11.0,36,118
85.64,14.36,20,119
90.47,9.53,35,120
81.97,18.03,11,121
90.09,9.91,23,122
89.18,10.82,24,123
80.62,19.38,13,124
88.12,11.88,22,125
89.68,10.32,92,126
89.24,10.76,137,127
89.32,10.68,43,128
91.38,8.62,42,129
87.21,12.79,70,130
86.92,13.08,73,131
87.57,12.43,18,132
85.79,14.21,17,133
79.43,20.57,4,134
87.73,12.27,100,135
88.07,11.93,77,136
85.83,14.17,79,137
83.52,16.48,129,138
86.68,13.32,95,139
89.23,10.77,94,140
80.77,19.23,2,141
87.11,12.89,98,142
87.47,12.53,76,143
